epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.5717,1.24958,4.09678,0.00431,0.00929,0.80563,0.12419,0.08962,0.92675,3.28756,0.00379,0.000330435,0.000330435,0.067287
2,157.487,1.16055,3.04165,0.00397,0.45326,0.43857,0.42745,0.31359,0.9038,1.83514,0.00382,0.000641864,0.000641864,0.0342651
3,217.095,1.14625,2.00982,0.00393,0.55003,0.57678,0.60041,0.46521,0.87466,1.30714,0.00368,0.000931293,0.000931293,0.00122115
4,275.24,1.09835,1.62224,0.00374,0.67646,0.66359,0.73411,0.57422,0.84885,1.10884,0.00359,0.000901,0.000901,0.000901
5,333.814,1.07149,1.44299,0.00356,0.72948,0.6783,0.78241,0.60837,0.82806,0.96757,0.0035,0.000868,0.000868,0.000868
6,392.216,1.04261,1.31621,0.00349,0.77776,0.71196,0.81664,0.63925,0.81206,0.85907,0.00336,0.000835,0.000835,0.000835
7,450.671,1.01945,1.21709,0.00341,0.79989,0.719,0.82767,0.65186,0.81257,0.82556,0.00333,0.000802,0.000802,0.000802
8,507.449,1.02453,1.15699,0.00345,0.80957,0.74218,0.85079,0.66934,0.80588,0.78276,0.00339,0.000769,0.000769,0.000769
9,564.389,1.01717,1.09896,0.00335,0.80977,0.76737,0.8618,0.67063,0.81168,0.74331,0.00349,0.000736,0.000736,0.000736
10,623.012,1.00245,1.05838,0.00333,0.82926,0.75392,0.86731,0.68129,0.79722,0.70811,0.00338,0.000703,0.000703,0.000703
11,680.433,0.9902,1.00881,0.00328,0.85805,0.75462,0.87968,0.69573,0.78114,0.67655,0.00324,0.00067,0.00067,0.00067
12,738.035,0.98446,0.98971,0.00332,0.8391,0.77744,0.88508,0.70037,0.77567,0.65786,0.00325,0.000637,0.000637,0.000637
13,795.156,1.0057,0.96497,0.00328,0.82852,0.77045,0.88406,0.69779,0.77258,0.65909,0.00319,0.000604,0.000604,0.000604
14,852.276,0.98153,0.91326,0.00327,0.85161,0.80211,0.90056,0.71596,0.77592,0.61904,0.0032,0.000571,0.000571,0.000571
15,910.035,0.96879,0.9073,0.00325,0.83458,0.81266,0.8996,0.71556,0.78139,0.62362,0.00331,0.000538,0.000538,0.000538
16,967.625,0.95237,0.86947,0.00318,0.86601,0.79864,0.90593,0.71771,0.78235,0.60767,0.00324,0.000505,0.000505,0.000505
17,1024.42,0.97097,0.85086,0.00319,0.85194,0.81179,0.90678,0.72558,0.77342,0.60432,0.00324,0.000472,0.000472,0.000472
18,1081.32,0.96942,0.85638,0.0032,0.86521,0.80739,0.91145,0.72247,0.76827,0.59611,0.00318,0.000439,0.000439,0.000439
19,1138.82,0.94369,0.81077,0.00312,0.86017,0.81429,0.91331,0.73367,0.76517,0.58075,0.00318,0.000406,0.000406,0.000406
20,1197.16,0.95912,0.81792,0.00319,0.86185,0.81752,0.91462,0.73072,0.76704,0.58325,0.00324,0.000373,0.000373,0.000373
21,1255.11,0.87141,0.73148,0.00328,0.85717,0.82146,0.91716,0.73409,0.77227,0.57379,0.00323,0.00034,0.00034,0.00034
22,1309.58,0.86402,0.69943,0.00327,0.86132,0.82757,0.91776,0.73034,0.77166,0.57456,0.00315,0.000307,0.000307,0.000307
23,1363.05,0.85835,0.69472,0.00322,0.873,0.81619,0.91715,0.73044,0.76244,0.57599,0.00314,0.000274,0.000274,0.000274
24,1416.98,0.8625,0.68112,0.0032,0.88103,0.80827,0.92062,0.73651,0.76406,0.5702,0.00316,0.000241,0.000241,0.000241
25,1471.13,0.84663,0.66879,0.00316,0.87428,0.82264,0.92196,0.73737,0.75109,0.56647,0.00307,0.000208,0.000208,0.000208
26,1526.13,0.85135,0.67106,0.00318,0.87066,0.82498,0.92314,0.74067,0.75197,0.56574,0.00309,0.000175,0.000175,0.000175
27,1579.71,0.83587,0.65352,0.00319,0.87282,0.83421,0.92384,0.73804,0.75573,0.55905,0.0031,0.000142,0.000142,0.000142
28,1634.22,0.84347,0.65374,0.00319,0.8678,0.83423,0.92571,0.74041,0.74939,0.55704,0.00308,0.000109,0.000109,0.000109
29,1688.62,0.84309,0.65332,0.00318,0.87844,0.82309,0.92557,0.74119,0.74771,0.55073,0.00307,7.6e-05,7.6e-05,7.6e-05
30,1743.11,0.83502,0.65499,0.00311,0.88435,0.82384,0.92673,0.74302,0.74458,0.54989,0.00306,4.3e-05,4.3e-05,4.3e-05
