epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.555,1.20259,3.42926,0.00415,0.66412,0.6382,0.70882,0.50926,1.00736,2.84335,0.00485,0.000662037,0.000662037,0.000662037
2,173.525,1.15936,1.84058,0.00412,0.76424,0.73415,0.82816,0.61033,0.96244,1.0231,0.00454,0.00129582,0.00129582,0.00129582
3,237.577,1.15173,1.25729,0.00414,0.80642,0.77221,0.86887,0.63591,1.00082,0.74588,0.00485,0.0018966,0.0018966,0.0018966
4,298.286,1.12746,0.99305,0.00407,0.85008,0.76297,0.88111,0.65139,0.99803,0.7081,0.00493,0.0018515,0.0018515,0.0018515
5,358.796,1.1255,0.89959,0.00397,0.83842,0.81458,0.90002,0.66196,0.97652,0.65563,0.00475,0.001802,0.001802,0.001802
6,419.775,1.09353,0.81144,0.00383,0.8707,0.83213,0.92012,0.70036,0.92,0.62832,0.00453,0.0017525,0.0017525,0.0017525
7,480.207,1.0735,0.74425,0.00379,0.85019,0.84355,0.92032,0.70064,0.93516,0.56538,0.00438,0.001703,0.001703,0.001703
8,539.824,1.04455,0.69724,0.00368,0.89359,0.85671,0.93737,0.72928,0.88817,0.50453,0.00425,0.0016535,0.0016535,0.0016535
9,600.784,1.0383,0.68594,0.0036,0.8911,0.87439,0.94368,0.71888,0.90197,0.49087,0.00433,0.001604,0.001604,0.001604
10,661.368,1.02962,0.66027,0.0035,0.90635,0.85928,0.94547,0.73959,0.83478,0.47095,0.0038,0.0015545,0.0015545,0.0015545
11,722.942,1.03028,0.63876,0.00353,0.89987,0.88171,0.95292,0.73976,0.85617,0.48991,0.00395,0.001505,0.001505,0.001505
12,782.828,1.0173,0.61109,0.00351,0.90046,0.89107,0.95426,0.74907,0.81653,0.4563,0.00369,0.0014555,0.0014555,0.0014555
13,843.586,1.006,0.59557,0.00346,0.91494,0.89314,0.96276,0.75914,0.80399,0.42192,0.00365,0.001406,0.001406,0.001406
14,904.352,0.98498,0.57428,0.00335,0.91762,0.88658,0.95914,0.75915,0.8108,0.4176,0.00367,0.0013565,0.0013565,0.0013565
15,968.712,0.97792,0.56836,0.00338,0.91511,0.896,0.96203,0.76543,0.80877,0.41029,0.00349,0.001307,0.001307,0.001307
16,1030.85,0.96366,0.55616,0.00327,0.90705,0.89974,0.96221,0.76242,0.82844,0.41659,0.00376,0.0012575,0.0012575,0.0012575
17,1092.94,0.96154,0.53695,0.00321,0.9095,0.89578,0.96276,0.77134,0.78962,0.39909,0.00349,0.001208,0.001208,0.001208
18,1154.39,0.96288,0.54856,0.00326,0.92433,0.90238,0.96995,0.77543,0.79854,0.37191,0.00362,0.0011585,0.0011585,0.0011585
19,1216.39,0.94054,0.51714,0.00317,0.93467,0.9015,0.97072,0.784,0.76134,0.37004,0.0033,0.001109,0.001109,0.001109
20,1277.66,0.9226,0.49011,0.00316,0.93687,0.91117,0.97623,0.79039,0.78992,0.35688,0.00348,0.0010595,0.0010595,0.0010595
21,1338.28,0.93041,0.49412,0.00316,0.9471,0.91325,0.97581,0.79067,0.77618,0.3532,0.00349,0.00101,0.00101,0.00101
22,1398.91,0.94293,0.5043,0.00309,0.93548,0.92832,0.97639,0.79729,0.73137,0.33885,0.00315,0.0009605,0.0009605,0.0009605
23,1459.04,0.91624,0.4766,0.00307,0.93865,0.93536,0.97515,0.79717,0.74286,0.35191,0.00321,0.000911,0.000911,0.000911
24,1519.19,0.90536,0.45839,0.00303,0.93703,0.92923,0.97869,0.79776,0.75674,0.32576,0.00324,0.0008615,0.0008615,0.0008615
25,1579.52,0.89375,0.44791,0.00293,0.94975,0.92832,0.98019,0.80704,0.74672,0.31881,0.00333,0.000812,0.000812,0.000812
26,1640.59,0.88971,0.44039,0.00297,0.95408,0.92284,0.97862,0.80015,0.74296,0.33665,0.00331,0.0007625,0.0007625,0.0007625
27,1701.65,0.86832,0.43771,0.00281,0.94255,0.93786,0.97972,0.80783,0.7364,0.31847,0.00322,0.000713,0.000713,0.000713
28,1762.92,0.87602,0.43672,0.00285,0.94055,0.95075,0.98321,0.81129,0.73416,0.30516,0.00319,0.0006635,0.0006635,0.0006635
29,1824.2,0.86013,0.42628,0.00287,0.94777,0.93931,0.98132,0.80779,0.72689,0.31658,0.00305,0.000614,0.000614,0.000614
30,1884.85,0.86605,0.42171,0.00284,0.95343,0.927,0.98106,0.81018,0.71757,0.30717,0.00309,0.0005645,0.0005645,0.0005645
31,1946,0.77132,0.33434,0.00291,0.94765,0.93943,0.98213,0.81553,0.72066,0.30107,0.00314,0.000515,0.000515,0.000515
